Type,Reference,Description
Interfaces,Excel.Interfaces.ChartTitleLoadOptions,Represents a chart title object of a chart.
Interfaces,Excel.Interfaces.ChartTitleUpdateData,"An interface for updating data on the ChartTitle object, for use in chartTitle.set({ ... })."
Interfaces,Excel.Interfaces.ChartTrendlineCollectionData,An interface describing the data returned by calling chartTrendlineCollection.toJSON().
Interfaces,Excel.Interfaces.ChartTrendlineCollectionLoadOptions,Represents a collection of chart trendlines.
Interfaces,Excel.Interfaces.ChartTrendlineCollectionUpdateData,"An interface for updating data on the ChartTrendlineCollection object, for use in chartTrendlineCollection.set({ ... })."
Interfaces,Excel.Interfaces.ChartTrendlineData,An interface describing the data returned by calling chartTrendline.toJSON().
Interfaces,Excel.Interfaces.ChartTrendlineFormatData,An interface describing the data returned by calling chartTrendlineFormat.toJSON().
Interfaces,Excel.Interfaces.ChartTrendlineFormatLoadOptions,Represents the format properties for the chart trendline.
Interfaces,Excel.Interfaces.ChartTrendlineFormatUpdateData,"An interface for updating data on the ChartTrendlineFormat object, for use in chartTrendlineFormat.set({ ... })."
Interfaces,Excel.Interfaces.ChartTrendlineLabelData,An interface describing the data returned by calling chartTrendlineLabel.toJSON().
Interfaces,Excel.Interfaces.ChartTrendlineLabelFormatData,An interface describing the data returned by calling chartTrendlineLabelFormat.toJSON().
Interfaces,Excel.Interfaces.ChartTrendlineLabelFormatLoadOptions,Encapsulates the format properties for the chart trendline label.
Interfaces,Excel.Interfaces.ChartTrendlineLabelFormatUpdateData,"An interface for updating data on the ChartTrendlineLabelFormat object, for use in chartTrendlineLabelFormat.set({ ... })."
Interfaces,Excel.Interfaces.ChartTrendlineLabelLoadOptions,This object represents the attributes for a chart trendline label object.
Interfaces,Excel.Interfaces.ChartTrendlineLabelUpdateData,"An interface for updating data on the ChartTrendlineLabel object, for use in chartTrendlineLabel.set({ ... })."
Interfaces,Excel.Interfaces.ChartTrendlineLoadOptions,This object represents the attributes for a chart trendline object.
Interfaces,Excel.Interfaces.ChartTrendlineUpdateData,"An interface for updating data on the ChartTrendline object, for use in chartTrendline.set({ ... })."
Interfaces,Excel.Interfaces.ChartUpdateData,"An interface for updating data on the Chart object, for use in chart.set({ ... })."
Interfaces,Excel.Interfaces.CollectionLoadOptions,Provides ways to load properties of only a subset of members of a collection.
Interfaces,Excel.Interfaces.ColorScaleConditionalFormatData,An interface describing the data returned by calling colorScaleConditionalFormat.toJSON().
Interfaces,Excel.Interfaces.ColorScaleConditionalFormatLoadOptions,Represents the color scale criteria for conditional formatting.
Interfaces,Excel.Interfaces.ColorScaleConditionalFormatUpdateData,"An interface for updating data on the ColorScaleConditionalFormat object, for use in colorScaleConditionalFormat.set({ ... })."
Interfaces,Excel.Interfaces.CommentCollectionData,An interface describing the data returned by calling commentCollection.toJSON().
Interfaces,Excel.Interfaces.CommentCollectionLoadOptions,Represents a collection of comment objects that are part of the workbook.
Interfaces,Excel.Interfaces.CommentCollectionUpdateData,"An interface for updating data on the CommentCollection object, for use in commentCollection.set({ ... })."
Interfaces,Excel.Interfaces.CommentData,An interface describing the data returned by calling comment.toJSON().
Interfaces,Excel.Interfaces.CommentLoadOptions,Represents a comment in the workbook.
Interfaces,Excel.Interfaces.CommentReplyCollectionData,An interface describing the data returned by calling commentReplyCollection.toJSON().
Interfaces,Excel.Interfaces.CommentReplyCollectionLoadOptions,Represents a collection of comment reply objects that are part of the comment.
Interfaces,Excel.Interfaces.CommentReplyCollectionUpdateData,"An interface for updating data on the CommentReplyCollection object, for use in commentReplyCollection.set({ ... })."
Interfaces,Excel.Interfaces.CommentReplyData,An interface describing the data returned by calling commentReply.toJSON().
Interfaces,Excel.Interfaces.CommentReplyLoadOptions,Represents a comment reply in the workbook.
Interfaces,Excel.Interfaces.CommentReplyUpdateData,"An interface for updating data on the CommentReply object, for use in commentReply.set({ ... })."
Interfaces,Excel.Interfaces.CommentUpdateData,"An interface for updating data on the Comment object, for use in comment.set({ ... })."
Interfaces,Excel.Interfaces.ConditionalDataBarNegativeFormatData,An interface describing the data returned by calling conditionalDataBarNegativeFormat.toJSON().
Interfaces,Excel.Interfaces.ConditionalDataBarNegativeFormatLoadOptions,Represents a conditional format for the negative side of the data bar.
Interfaces,Excel.Interfaces.ConditionalDataBarNegativeFormatUpdateData,"An interface for updating data on the ConditionalDataBarNegativeFormat object, for use in conditionalDataBarNegativeFormat.set({ ... })."
Interfaces,Excel.Interfaces.ConditionalDataBarPositiveFormatData,An interface describing the data returned by calling conditionalDataBarPositiveFormat.toJSON().
Interfaces,Excel.Interfaces.ConditionalDataBarPositiveFormatLoadOptions,Represents a conditional format for the positive side of the data bar.
Interfaces,Excel.Interfaces.ConditionalDataBarPositiveFormatUpdateData,"An interface for updating data on the ConditionalDataBarPositiveFormat object, for use in conditionalDataBarPositiveFormat.set({ ... })."
Interfaces,Excel.Interfaces.ConditionalFormatCollectionData,An interface describing the data returned by calling conditionalFormatCollection.toJSON().
Interfaces,Excel.Interfaces.ConditionalFormatCollectionLoadOptions,Represents a collection of all the conditional formats that are overlap the range.
Interfaces,Excel.Interfaces.ConditionalFormatCollectionUpdateData,"An interface for updating data on the ConditionalFormatCollection object, for use in conditionalFormatCollection.set({ ... })."
Interfaces,Excel.Interfaces.ConditionalFormatData,An interface describing the data returned by calling conditionalFormat.toJSON().
Interfaces,Excel.Interfaces.ConditionalFormatLoadOptions,"An object encapsulating a conditional format's range, format, rule, and other properties. To learn more about the conditional formatting object model, read Apply conditional formatting to Excel ranges."
Interfaces,Excel.Interfaces.ConditionalFormatRuleData,An interface describing the data returned by calling conditionalFormatRule.toJSON().
Interfaces,Excel.Interfaces.ConditionalFormatRuleLoadOptions,"Represents a rule, for all traditional rule/format pairings."
Interfaces,Excel.Interfaces.ConditionalFormatRuleUpdateData,"An interface for updating data on the ConditionalFormatRule object, for use in conditionalFormatRule.set({ ... })."
Interfaces,Excel.Interfaces.ConditionalFormatUpdateData,"An interface for updating data on the ConditionalFormat object, for use in conditionalFormat.set({ ... })."
Interfaces,Excel.Interfaces.ConditionalRangeBorderCollectionData,An interface describing the data returned by calling conditionalRangeBorderCollection.toJSON().
Interfaces,Excel.Interfaces.ConditionalRangeBorderCollectionLoadOptions,Represents the border objects that make up range border.
Interfaces,Excel.Interfaces.ConditionalRangeBorderCollectionUpdateData,"An interface for updating data on the ConditionalRangeBorderCollection object, for use in conditionalRangeBorderCollection.set({ ... })."
Interfaces,Excel.Interfaces.ConditionalRangeBorderData,An interface describing the data returned by calling conditionalRangeBorder.toJSON().
Interfaces,Excel.Interfaces.ConditionalRangeBorderLoadOptions,Represents the border of an object.
Interfaces,Excel.Interfaces.ConditionalRangeBorderUpdateData,"An interface for updating data on the ConditionalRangeBorder object, for use in conditionalRangeBorder.set({ ... })."
Interfaces,Excel.Interfaces.ConditionalRangeFillData,An interface describing the data returned by calling conditionalRangeFill.toJSON().
Interfaces,Excel.Interfaces.ConditionalRangeFillLoadOptions,Represents the background of a conditional range object.
Interfaces,Excel.Interfaces.ConditionalRangeFillUpdateData,"An interface for updating data on the ConditionalRangeFill object, for use in conditionalRangeFill.set({ ... })."
Interfaces,Excel.Interfaces.ConditionalRangeFontData,An interface describing the data returned by calling conditionalRangeFont.toJSON().
Interfaces,Excel.Interfaces.ConditionalRangeFontLoadOptions,"This object represents the font attributes (font style, color, etc.) for an object."
Interfaces,Excel.Interfaces.ConditionalRangeFontUpdateData,"An interface for updating data on the ConditionalRangeFont object, for use in conditionalRangeFont.set({ ... })."
Interfaces,Excel.Interfaces.ConditionalRangeFormatData,An interface describing the data returned by calling conditionalRangeFormat.toJSON().
Interfaces,Excel.Interfaces.ConditionalRangeFormatLoadOptions,"A format object encapsulating the conditional formats range's font, fill, borders, and other properties."
Interfaces,Excel.Interfaces.ConditionalRangeFormatUpdateData,"An interface for updating data on the ConditionalRangeFormat object, for use in conditionalRangeFormat.set({ ... })."
Interfaces,Excel.Interfaces.CultureInfoData,An interface describing the data returned by calling cultureInfo.toJSON().
Interfaces,Excel.Interfaces.CultureInfoLoadOptions,"Provides information based on current system culture settings. This includes the culture names, number formatting, and other culturally dependent settings."
Interfaces,Excel.Interfaces.CustomConditionalFormatData,An interface describing the data returned by calling customConditionalFormat.toJSON().
Interfaces,Excel.Interfaces.CustomConditionalFormatLoadOptions,Represents a custom conditional format type.
Interfaces,Excel.Interfaces.CustomConditionalFormatUpdateData,"An interface for updating data on the CustomConditionalFormat object, for use in customConditionalFormat.set({ ... })."
Interfaces,Excel.Interfaces.CustomPropertyCollectionData,An interface describing the data returned by calling customPropertyCollection.toJSON().
Interfaces,Excel.Interfaces.CustomPropertyCollectionLoadOptions,Contains the collection of custom properties.
Interfaces,Excel.Interfaces.CustomPropertyCollectionUpdateData,"An interface for updating data on the CustomPropertyCollection object, for use in customPropertyCollection.set({ ... })."
Interfaces,Excel.Interfaces.CustomPropertyData,An interface describing the data returned by calling customProperty.toJSON().
Interfaces,Excel.Interfaces.CustomPropertyLoadOptions,Represents a custom property.
Interfaces,Excel.Interfaces.CustomPropertyUpdateData,"An interface for updating data on the CustomProperty object, for use in customProperty.set({ ... })."
Interfaces,Excel.Interfaces.CustomXmlPartCollectionData,An interface describing the data returned by calling customXmlPartCollection.toJSON().
Interfaces,Excel.Interfaces.CustomXmlPartCollectionLoadOptions,A collection of custom XML parts.
Interfaces,Excel.Interfaces.CustomXmlPartCollectionUpdateData,"An interface for updating data on the CustomXmlPartCollection object, for use in customXmlPartCollection.set({ ... })."
Interfaces,Excel.Interfaces.CustomXmlPartData,An interface describing the data returned by calling customXmlPart.toJSON().
Interfaces,Excel.Interfaces.CustomXmlPartLoadOptions,Represents a custom XML part object in a workbook.
Interfaces,Excel.Interfaces.CustomXmlPartScopedCollectionData,An interface describing the data returned by calling customXmlPartScopedCollection.toJSON().
Interfaces,Excel.Interfaces.CustomXmlPartScopedCollectionLoadOptions,"A scoped collection of custom XML parts. A scoped collection is the result of some operation (e.g., filtering by namespace). A scoped collection cannot be scoped any further."
Interfaces,Excel.Interfaces.CustomXmlPartScopedCollectionUpdateData,"An interface for updating data on the CustomXmlPartScopedCollection object, for use in customXmlPartScopedCollection.set({ ... })."
Interfaces,Excel.Interfaces.DataBarConditionalFormatData,An interface describing the data returned by calling dataBarConditionalFormat.toJSON().
Interfaces,Excel.Interfaces.DataBarConditionalFormatLoadOptions,Represents an Excel conditional data bar type.
Interfaces,Excel.Interfaces.DataBarConditionalFormatUpdateData,"An interface for updating data on the DataBarConditionalFormat object, for use in dataBarConditionalFormat.set({ ... })."
Interfaces,Excel.Interfaces.DataPivotHierarchyCollectionData,An interface describing the data returned by calling dataPivotHierarchyCollection.toJSON().
Interfaces,Excel.Interfaces.DataPivotHierarchyCollectionLoadOptions,Represents a collection of DataPivotHierarchy items associated with the PivotTable.
Interfaces,Excel.Interfaces.DataPivotHierarchyCollectionUpdateData,"An interface for updating data on the DataPivotHierarchyCollection object, for use in dataPivotHierarchyCollection.set({ ... })."
Interfaces,Excel.Interfaces.DataPivotHierarchyData,An interface describing the data returned by calling dataPivotHierarchy.toJSON().
Interfaces,Excel.Interfaces.DataPivotHierarchyLoadOptions,Represents the Excel DataPivotHierarchy.
Interfaces,Excel.Interfaces.DataPivotHierarchyUpdateData,"An interface for updating data on the DataPivotHierarchy object, for use in dataPivotHierarchy.set({ ... })."
Interfaces,Excel.Interfaces.DataValidationData,An interface describing the data returned by calling dataValidation.toJSON().
Interfaces,Excel.Interfaces.DataValidationLoadOptions,"Represents the data validation applied to the current range. To learn more about the data validation object model, read Add data validation to Excel ranges."
Interfaces,Excel.Interfaces.DataValidationUpdateData,"An interface for updating data on the DataValidation object, for use in dataValidation.set({ ... })."
Interfaces,Excel.Interfaces.DatetimeFormatInfoData,An interface describing the data returned by calling datetimeFormatInfo.toJSON().
Interfaces,Excel.Interfaces.DatetimeFormatInfoLoadOptions,Defines the culturally appropriate format of displaying numbers. This is based on current system culture settings.
Interfaces,Excel.Interfaces.DocumentPropertiesData,An interface describing the data returned by calling documentProperties.toJSON().
Interfaces,Excel.Interfaces.DocumentPropertiesLoadOptions,Represents workbook properties.
Interfaces,Excel.Interfaces.DocumentPropertiesUpdateData,"An interface for updating data on the DocumentProperties object, for use in documentProperties.set({ ... })."
Interfaces,Excel.Interfaces.DocumentTaskChangeCollectionData,An interface describing the data returned by calling documentTaskChangeCollection.toJSON().
Interfaces,Excel.Interfaces.DocumentTaskChangeCollectionLoadOptions,Represents a collection of change records for a task.
Interfaces,Excel.Interfaces.DocumentTaskChangeCollectionUpdateData,"An interface for updating data on the DocumentTaskChangeCollection object, for use in documentTaskChangeCollection.set({ ... })."
Interfaces,Excel.Interfaces.DocumentTaskChangeData,An interface describing the data returned by calling documentTaskChange.toJSON().
Interfaces,Excel.Interfaces.DocumentTaskChangeLoadOptions,Represents a recorded change to the task.
Interfaces,Excel.Interfaces.DocumentTaskCollectionData,An interface describing the data returned by calling documentTaskCollection.toJSON().
Interfaces,Excel.Interfaces.DocumentTaskCollectionLoadOptions,Represents a collection of tasks.
Interfaces,Excel.Interfaces.DocumentTaskCollectionUpdateData,"An interface for updating data on the DocumentTaskCollection object, for use in documentTaskCollection.set({ ... })."
Interfaces,Excel.Interfaces.DocumentTaskData,An interface describing the data returned by calling documentTask.toJSON().
Interfaces,Excel.Interfaces.DocumentTaskLoadOptions,Represents a task.
Interfaces,Excel.Interfaces.DocumentTaskUpdateData,"An interface for updating data on the DocumentTask object, for use in documentTask.set({ ... })."
Interfaces,Excel.Interfaces.FilterData,An interface describing the data returned by calling filter.toJSON().
Interfaces,Excel.Interfaces.FilterLoadOptions,Manages the filtering of a table's column.
Interfaces,Excel.Interfaces.FilterPivotHierarchyCollectionData,An interface describing the data returned by calling filterPivotHierarchyCollection.toJSON().
Interfaces,Excel.Interfaces.FilterPivotHierarchyCollectionLoadOptions,Represents a collection of FilterPivotHierarchy items associated with the PivotTable.
Interfaces,Excel.Interfaces.FilterPivotHierarchyCollectionUpdateData,"An interface for updating data on the FilterPivotHierarchyCollection object, for use in filterPivotHierarchyCollection.set({ ... })."
Interfaces,Excel.Interfaces.FilterPivotHierarchyData,An interface describing the data returned by calling filterPivotHierarchy.toJSON().
Interfaces,Excel.Interfaces.FilterPivotHierarchyLoadOptions,Represents the Excel FilterPivotHierarchy.
Interfaces,Excel.Interfaces.FilterPivotHierarchyUpdateData,"An interface for updating data on the FilterPivotHierarchy object, for use in filterPivotHierarchy.set({ ... })."
Interfaces,Excel.Interfaces.FormatProtectionData,An interface describing the data returned by calling formatProtection.toJSON().
Interfaces,Excel.Interfaces.FormatProtectionLoadOptions,Represents the format protection of a range object.
Interfaces,Excel.Interfaces.FormatProtectionUpdateData,"An interface for updating data on the FormatProtection object, for use in formatProtection.set({ ... })."
Interfaces,Excel.Interfaces.FunctionResultData,An interface describing the data returned by calling functionResult.toJSON().
Interfaces,Excel.Interfaces.FunctionResultLoadOptions,An object containing the result of a function-evaluation operation
Interfaces,Excel.Interfaces.GeometricShapeData,An interface describing the data returned by calling geometricShape.toJSON().
Interfaces,Excel.Interfaces.GeometricShapeLoadOptions,"Represents a geometric shape inside a worksheet. A geometric shape can be a rectangle, block arrow, equation symbol, flowchart item, star, banner, callout, or any other basic shape in Excel."
Interfaces,Excel.Interfaces.GroupShapeCollectionData,An interface describing the data returned by calling groupShapeCollection.toJSON().
Interfaces,Excel.Interfaces.GroupShapeCollectionLoadOptions,Represents the shape collection inside a shape group.
Interfaces,Excel.Interfaces.GroupShapeCollectionUpdateData,"An interface for updating data on the GroupShapeCollection object, for use in groupShapeCollection.set({ ... })."
Interfaces,Excel.Interfaces.HeaderFooterData,An interface describing the data returned by calling headerFooter.toJSON().
Interfaces,Excel.Interfaces.HeaderFooterGroupData,An interface describing the data returned by calling headerFooterGroup.toJSON().
Interfaces,Excel.Interfaces.HeaderFooterGroupUpdateData,"An interface for updating data on the HeaderFooterGroup object, for use in headerFooterGroup.set({ ... })."
Interfaces,Excel.Interfaces.HeaderFooterUpdateData,"An interface for updating data on the HeaderFooter object, for use in headerFooter.set({ ... })."
Interfaces,Excel.Interfaces.IconSetConditionalFormatData,An interface describing the data returned by calling iconSetConditionalFormat.toJSON().
Interfaces,Excel.Interfaces.IconSetConditionalFormatLoadOptions,Represents an icon set criteria for conditional formatting.
Interfaces,Excel.Interfaces.IconSetConditionalFormatUpdateData,"An interface for updating data on the IconSetConditionalFormat object, for use in iconSetConditionalFormat.set({ ... })."
Interfaces,Excel.Interfaces.ImageData,An interface describing the data returned by calling image.toJSON().
Interfaces,Excel.Interfaces.ImageLoadOptions,"Represents an image in the worksheet. To get the corresponding Shape object, use Image.shape."
Interfaces,Excel.Interfaces.IterativeCalculationData,An interface describing the data returned by calling iterativeCalculation.toJSON().
Interfaces,Excel.Interfaces.IterativeCalculationLoadOptions,Represents the iterative calculation settings.
Interfaces,Excel.Interfaces.IterativeCalculationUpdateData,"An interface for updating data on the IterativeCalculation object, for use in iterativeCalculation.set({ ... })."
Interfaces,Excel.Interfaces.LineData,An interface describing the data returned by calling line.toJSON().
Interfaces,Excel.Interfaces.LineLoadOptions,"Represents a line inside a worksheet. To get the corresponding Shape object, use Line.shape."
Interfaces,Excel.Interfaces.LineUpdateData,"An interface for updating data on the Line object, for use in line.set({ ... })."
Interfaces,Excel.Interfaces.LinkedDataTypeCollectionData,An interface describing the data returned by calling linkedDataTypeCollection.toJSON().
Interfaces,Excel.Interfaces.LinkedDataTypeCollectionLoadOptions,Represents a collection of linked data types.
Interfaces,Excel.Interfaces.LinkedDataTypeCollectionUpdateData,"An interface for updating data on the LinkedDataTypeCollection object, for use in linkedDataTypeCollection.set({ ... })."
Interfaces,Excel.Interfaces.LinkedDataTypeData,An interface describing the data returned by calling linkedDataType.toJSON().
Interfaces,Excel.Interfaces.LinkedDataTypeLoadOptions,Represents a linked data type. A linked data type is a data type connected to an online data source.
Interfaces,Excel.Interfaces.LinkedWorkbookCollectionData,An interface describing the data returned by calling linkedWorkbookCollection.toJSON().
Interfaces,Excel.Interfaces.LinkedWorkbookCollectionLoadOptions,Represents a collection of linked workbook objects.
Interfaces,Excel.Interfaces.LinkedWorkbookCollectionUpdateData,"An interface for updating data on the LinkedWorkbookCollection object, for use in linkedWorkbookCollection.set({ ... })."
Interfaces,Excel.Interfaces.LinkedWorkbookData,An interface describing the data returned by calling linkedWorkbook.toJSON().
Interfaces,Excel.Interfaces.LinkedWorkbookLoadOptions,"Contains information about a linked workbook. If a workbook has links pointing to data in another workbook, the second workbook is linked to the first workbook. In this scenario, the second workbook is called the ""linked workbook""."
Interfaces,Excel.Interfaces.NamedItemArrayValuesData,An interface describing the data returned by calling namedItemArrayValues.toJSON().
Interfaces,Excel.Interfaces.NamedItemArrayValuesLoadOptions,Represents an object containing values and types of a named item.
Interfaces,Excel.Interfaces.NamedItemCollectionData,An interface describing the data returned by calling namedItemCollection.toJSON().
Interfaces,Excel.Interfaces.NamedItemCollectionLoadOptions,"A collection of all the NamedItem objects that are part of the workbook or worksheet, depending on how it was reached."
Interfaces,Excel.Interfaces.NamedItemCollectionUpdateData,"An interface for updating data on the NamedItemCollection object, for use in namedItemCollection.set({ ... })."
Interfaces,Excel.Interfaces.NamedItemData,An interface describing the data returned by calling namedItem.toJSON().
Interfaces,Excel.Interfaces.NamedItemLoadOptions,"Represents a defined name for a range of cells or value. Names can be primitive named objects (as seen in the type below), range object, or a reference to a range. This object can be used to obtain range object associated with names."
Interfaces,Excel.Interfaces.NamedItemUpdateData,"An interface for updating data on the NamedItem object, for use in namedItem.set({ ... })."
Interfaces,Excel.Interfaces.NamedSheetViewCollectionData,An interface describing the data returned by calling namedSheetViewCollection.toJSON().
Interfaces,Excel.Interfaces.NamedSheetViewCollectionLoadOptions,Represents the collection of sheet views in the worksheet.
Interfaces,Excel.Interfaces.NamedSheetViewCollectionUpdateData,"An interface for updating data on the NamedSheetViewCollection object, for use in namedSheetViewCollection.set({ ... })."
Interfaces,Excel.Interfaces.NamedSheetViewData,An interface describing the data returned by calling namedSheetView.toJSON().
Interfaces,Excel.Interfaces.NamedSheetViewLoadOptions,"Represents a named sheet view of a worksheet. A sheet view stores the sort and filter rules for a particular worksheet. Every sheet view (even a temporary sheet view) has a unique, worksheet-scoped name that is used to access the view."
Interfaces,Excel.Interfaces.NamedSheetViewUpdateData,"An interface for updating data on the NamedSheetView object, for use in namedSheetView.set({ ... })."
Interfaces,Excel.Interfaces.NumberFormatInfoData,An interface describing the data returned by calling numberFormatInfo.toJSON().
Interfaces,Excel.Interfaces.NumberFormatInfoLoadOptions,Defines the culturally appropriate format of displaying numbers. This is based on current system culture settings.
Interfaces,Excel.Interfaces.PageBreakCollectionData,An interface describing the data returned by calling pageBreakCollection.toJSON().
Interfaces,Excel.Interfaces.PageBreakCollectionUpdateData,"An interface for updating data on the PageBreakCollection object, for use in pageBreakCollection.set({ ... })."
Interfaces,Excel.Interfaces.PageBreakData,An interface describing the data returned by calling pageBreak.toJSON().
Interfaces,Excel.Interfaces.PageLayoutData,An interface describing the data returned by calling pageLayout.toJSON().
Interfaces,Excel.Interfaces.PageLayoutLoadOptions,"Represents layout and print settings that are not dependent on any printer-specific implementation. These settings include margins, orientation, page numbering, title rows, and print area."
Interfaces,Excel.Interfaces.PageLayoutUpdateData,"An interface for updating data on the PageLayout object, for use in pageLayout.set({ ... })."
Interfaces,Excel.Interfaces.PivotFieldCollectionData,An interface describing the data returned by calling pivotFieldCollection.toJSON().
Interfaces,Excel.Interfaces.PivotFieldCollectionLoadOptions,Represents a collection of all the PivotFields that are part of a PivotTable's hierarchy.
Interfaces,Excel.Interfaces.PivotFieldCollectionUpdateData,"An interface for updating data on the PivotFieldCollection object, for use in pivotFieldCollection.set({ ... })."
Interfaces,Excel.Interfaces.PivotFieldData,An interface describing the data returned by calling pivotField.toJSON().
Interfaces,Excel.Interfaces.PivotFieldLoadOptions,Represents the Excel PivotField.
Interfaces,Excel.Interfaces.PivotFieldUpdateData,"An interface for updating data on the PivotField object, for use in pivotField.set({ ... })."
Interfaces,Excel.Interfaces.PivotHierarchyCollectionData,An interface describing the data returned by calling pivotHierarchyCollection.toJSON().
Interfaces,Excel.Interfaces.PivotHierarchyCollectionLoadOptions,Represents a collection of all the PivotHierarchies that are part of the PivotTable.
Interfaces,Excel.Interfaces.PivotHierarchyCollectionUpdateData,"An interface for updating data on the PivotHierarchyCollection object, for use in pivotHierarchyCollection.set({ ... })."
Interfaces,Excel.Interfaces.PivotHierarchyData,An interface describing the data returned by calling pivotHierarchy.toJSON().
Interfaces,Excel.Interfaces.PivotHierarchyLoadOptions,Represents the Excel PivotHierarchy.
Interfaces,Excel.Interfaces.PivotHierarchyUpdateData,"An interface for updating data on the PivotHierarchy object, for use in pivotHierarchy.set({ ... })."
Interfaces,Excel.Interfaces.PivotItemCollectionData,An interface describing the data returned by calling pivotItemCollection.toJSON().
Interfaces,Excel.Interfaces.PivotItemCollectionLoadOptions,Represents a collection of all the PivotItems related to their parent PivotField.
Interfaces,Excel.Interfaces.PivotItemCollectionUpdateData,"An interface for updating data on the PivotItemCollection object, for use in pivotItemCollection.set({ ... })."
Interfaces,Excel.Interfaces.PivotItemData,An interface describing the data returned by calling pivotItem.toJSON().
Interfaces,Excel.Interfaces.PivotItemLoadOptions,Represents the Excel PivotItem.
Interfaces,Excel.Interfaces.PivotItemUpdateData,"An interface for updating data on the PivotItem object, for use in pivotItem.set({ ... })."
Interfaces,Excel.Interfaces.PivotLayoutData,An interface describing the data returned by calling pivotLayout.toJSON().
Interfaces,Excel.Interfaces.PivotLayoutLoadOptions,Represents the visual layout of the PivotTable.
Interfaces,Excel.Interfaces.PivotLayoutUpdateData,"An interface for updating data on the PivotLayout object, for use in pivotLayout.set({ ... })."
Interfaces,Excel.Interfaces.PivotTableCollectionData,An interface describing the data returned by calling pivotTableCollection.toJSON().
Interfaces,Excel.Interfaces.PivotTableCollectionLoadOptions,Represents a collection of all the PivotTables that are part of the workbook or worksheet.
Interfaces,Excel.Interfaces.PivotTableCollectionUpdateData,"An interface for updating data on the PivotTableCollection object, for use in pivotTableCollection.set({ ... })."
Interfaces,Excel.Interfaces.PivotTableData,An interface describing the data returned by calling pivotTable.toJSON().
Interfaces,Excel.Interfaces.PivotTableLoadOptions,"Represents an Excel PivotTable. To learn more about the PivotTable object model, read Work with PivotTables using the Excel JavaScript API."
Interfaces,Excel.Interfaces.PivotTableScopedCollectionData,An interface describing the data returned by calling pivotTableScopedCollection.toJSON().
Interfaces,Excel.Interfaces.PivotTableScopedCollectionLoadOptions,Represents a scoped collection of PivotTables. The PivotTables are sorted based on the location of the PivotTable's top-left corner. They are ordered top-to-bottom and then left-to-right.
Interfaces,Excel.Interfaces.PivotTableScopedCollectionUpdateData,"An interface for updating data on the PivotTableScopedCollection object, for use in pivotTableScopedCollection.set({ ... })."
Interfaces,Excel.Interfaces.PivotTableStyleCollectionData,An interface describing the data returned by calling pivotTableStyleCollection.toJSON().
Interfaces,Excel.Interfaces.PivotTableStyleCollectionLoadOptions,Represents a collection of PivotTable styles.
Interfaces,Excel.Interfaces.PivotTableStyleCollectionUpdateData,"An interface for updating data on the PivotTableStyleCollection object, for use in pivotTableStyleCollection.set({ ... })."
Interfaces,Excel.Interfaces.PivotTableStyleData,An interface describing the data returned by calling pivotTableStyle.toJSON().
Interfaces,Excel.Interfaces.PivotTableStyleLoadOptions,"Represents a PivotTable style, which defines style elements by PivotTable region."
Interfaces,Excel.Interfaces.PivotTableStyleUpdateData,"An interface for updating data on the PivotTableStyle object, for use in pivotTableStyle.set({ ... })."
Interfaces,Excel.Interfaces.PivotTableUpdateData,"An interface for updating data on the PivotTable object, for use in pivotTable.set({ ... })."
Interfaces,Excel.Interfaces.PresetCriteriaConditionalFormatData,An interface describing the data returned by calling presetCriteriaConditionalFormat.toJSON().
Interfaces,Excel.Interfaces.PresetCriteriaConditionalFormatLoadOptions,"Represents the preset criteria conditional format such as above average, below average, unique values, contains blank, nonblank, error, and noerror."
Interfaces,Excel.Interfaces.PresetCriteriaConditionalFormatUpdateData,"An interface for updating data on the PresetCriteriaConditionalFormat object, for use in presetCriteriaConditionalFormat.set({ ... })."
Interfaces,Excel.Interfaces.QueryCollectionData,An interface describing the data returned by calling queryCollection.toJSON().
Interfaces,Excel.Interfaces.QueryCollectionLoadOptions,Represents the collection of queries in the workbook.
Interfaces,Excel.Interfaces.QueryCollectionUpdateData,"An interface for updating data on the QueryCollection object, for use in queryCollection.set({ ... })."
Interfaces,Excel.Interfaces.QueryData,An interface describing the data returned by calling query.toJSON().
Interfaces,Excel.Interfaces.QueryLoadOptions,Represents a Power Query query.
Interfaces,Excel.Interfaces.RangeAreasCollectionData,An interface describing the data returned by calling rangeAreasCollection.toJSON().
Interfaces,Excel.Interfaces.RangeAreasCollectionLoadOptions,Contains the collection of cross-workbook level ranges.
Interfaces,Excel.Interfaces.RangeAreasCollectionUpdateData,"An interface for updating data on the RangeAreasCollection object, for use in rangeAreasCollection.set({ ... })."
Interfaces,Excel.Interfaces.RangeAreasData,An interface describing the data returned by calling rangeAreas.toJSON().
Interfaces,Excel.Interfaces.RangeAreasLoadOptions,"RangeAreas represents a collection of one or more rectangular ranges in the same worksheet. To learn how to use discontiguous ranges, read Work with multiple ranges simultaneously in Excel add-ins."
Interfaces,Excel.Interfaces.RangeAreasUpdateData,"An interface for updating data on the RangeAreas object, for use in rangeAreas.set({ ... })."
Interfaces,Excel.Interfaces.RangeBorderCollectionData,An interface describing the data returned by calling rangeBorderCollection.toJSON().
Interfaces,Excel.Interfaces.RangeBorderCollectionLoadOptions,Represents the border objects that make up the range border.
