Interfaces,Interface Description
Excel.Interfaces.TableColumnCollectionUpdateData,"An interface for updating data on the TableColumnCollection object, for use in tableColumnCollection.set({ ... })."
Excel.Interfaces.TableColumnData,An interface describing the data returned by calling tableColumn.toJSON().
Excel.Interfaces.TableColumnLoadOptions,Represents a column in a table.
Excel.Interfaces.TableColumnUpdateData,"An interface for updating data on the TableColumn object, for use in tableColumn.set({ ... })."
Excel.Interfaces.TableData,An interface describing the data returned by calling table.toJSON().
Excel.Interfaces.TableLoadOptions,"Represents an Excel table. To learn more about the table object model, read Work with tables using the Excel JavaScript API."
Excel.Interfaces.TableRowCollectionData,An interface describing the data returned by calling tableRowCollection.toJSON().
Excel.Interfaces.TableRowCollectionLoadOptions,Represents a collection of all the rows that are part of the table.
Excel.Interfaces.TableRowCollectionUpdateData,"An interface for updating data on the TableRowCollection object, for use in tableRowCollection.set({ ... })."
Excel.Interfaces.TableRowData,An interface describing the data returned by calling tableRow.toJSON().
Excel.Interfaces.TableRowLoadOptions,Represents a row in a table.
Excel.Interfaces.TableRowUpdateData,"An interface for updating data on the TableRow object, for use in tableRow.set({ ... })."
Excel.Interfaces.TableScopedCollectionData,An interface describing the data returned by calling tableScopedCollection.toJSON().
Excel.Interfaces.TableScopedCollectionLoadOptions,"Represents a scoped collection of tables. For each table its top-left corner is considered its anchor location, and the tables are sorted top-to-bottom and then left-to-right."
Excel.Interfaces.TableScopedCollectionUpdateData,"An interface for updating data on the TableScopedCollection object, for use in tableScopedCollection.set({ ... })."
Excel.Interfaces.TableSortData,An interface describing the data returned by calling tableSort.toJSON().
Excel.Interfaces.TableSortLoadOptions,Manages sorting operations on Table objects.
Excel.Interfaces.TableStyleCollectionData,An interface describing the data returned by calling tableStyleCollection.toJSON().
Excel.Interfaces.TableStyleCollectionLoadOptions,Represents a collection of table styles.
Excel.Interfaces.TableStyleCollectionUpdateData,"An interface for updating data on the TableStyleCollection object, for use in tableStyleCollection.set({ ... })."
Excel.Interfaces.TableStyleData,An interface describing the data returned by calling tableStyle.toJSON().
Excel.Interfaces.TableStyleLoadOptions,"Represents a table style, which defines the style elements by region of the table."
Excel.Interfaces.TableStyleUpdateData,"An interface for updating data on the TableStyle object, for use in tableStyle.set({ ... })."
Excel.Interfaces.TableUpdateData,"An interface for updating data on the Table object, for use in table.set({ ... })."
Excel.Interfaces.TextConditionalFormatData,An interface describing the data returned by calling textConditionalFormat.toJSON().
Excel.Interfaces.TextConditionalFormatLoadOptions,Represents a specific text conditional format.
Excel.Interfaces.TextConditionalFormatUpdateData,"An interface for updating data on the TextConditionalFormat object, for use in textConditionalFormat.set({ ... })."
Excel.Interfaces.TextFrameData,An interface describing the data returned by calling textFrame.toJSON().
Excel.Interfaces.TextFrameLoadOptions,Represents the text frame of a shape object.
Excel.Interfaces.TextFrameUpdateData,"An interface for updating data on the TextFrame object, for use in textFrame.set({ ... })."
Excel.Interfaces.TextRangeData,An interface describing the data returned by calling textRange.toJSON().
Excel.Interfaces.TextRangeLoadOptions,"Contains the text that is attached to a shape, in addition to properties and methods for manipulating the text."
Excel.Interfaces.TextRangeUpdateData,"An interface for updating data on the TextRange object, for use in textRange.set({ ... })."
Excel.Interfaces.TimelineStyleCollectionData,An interface describing the data returned by calling timelineStyleCollection.toJSON().
Excel.Interfaces.TimelineStyleCollectionLoadOptions,Represents a collection of timeline styles.
Excel.Interfaces.TimelineStyleCollectionUpdateData,"An interface for updating data on the TimelineStyleCollection object, for use in timelineStyleCollection.set({ ... })."
Excel.Interfaces.TimelineStyleData,An interface describing the data returned by calling timelineStyle.toJSON().
Excel.Interfaces.TimelineStyleLoadOptions,"Represents a TimelineStyle, which defines style elements by region in the timeline."
Excel.Interfaces.TimelineStyleUpdateData,"An interface for updating data on the TimelineStyle object, for use in timelineStyle.set({ ... })."
Excel.Interfaces.TopBottomConditionalFormatData,An interface describing the data returned by calling topBottomConditionalFormat.toJSON().
Excel.Interfaces.TopBottomConditionalFormatLoadOptions,Represents a top/bottom conditional format.
Excel.Interfaces.TopBottomConditionalFormatUpdateData,"An interface for updating data on the TopBottomConditionalFormat object, for use in topBottomConditionalFormat.set({ ... })."
Excel.Interfaces.WorkbookCreatedData,An interface describing the data returned by calling workbookCreated.toJSON().
Excel.Interfaces.WorkbookData,An interface describing the data returned by calling workbook.toJSON().
Excel.Interfaces.WorkbookLoadOptions,"Workbook is the top level object which contains related workbook objects such as worksheets, tables, and ranges. To learn more about the workbook object model, read Work with workbooks using the Excel JavaScript API."
Excel.Interfaces.WorkbookProtectionData,An interface describing the data returned by calling workbookProtection.toJSON().
Excel.Interfaces.WorkbookProtectionLoadOptions,Represents the protection of a workbook object.
Excel.Interfaces.WorkbookRangeAreasData,An interface describing the data returned by calling workbookRangeAreas.toJSON().
Excel.Interfaces.WorkbookRangeAreasLoadOptions,Represents a collection of one or more rectangular ranges in multiple worksheets.
Excel.Interfaces.WorkbookUpdateData,"An interface for updating data on the Workbook object, for use in workbook.set({ ... })."
Excel.Interfaces.WorksheetCollectionData,An interface describing the data returned by calling worksheetCollection.toJSON().
Excel.Interfaces.WorksheetCollectionLoadOptions,Represents a collection of worksheet objects that are part of the workbook.
Excel.Interfaces.WorksheetCollectionUpdateData,"An interface for updating data on the WorksheetCollection object, for use in worksheetCollection.set({ ... })."
Excel.Interfaces.WorksheetCustomPropertyCollectionData,An interface describing the data returned by calling worksheetCustomPropertyCollection.toJSON().
Excel.Interfaces.WorksheetCustomPropertyCollectionLoadOptions,Contains the collection of worksheet-level custom property.
Excel.Interfaces.WorksheetCustomPropertyCollectionUpdateData,"An interface for updating data on the WorksheetCustomPropertyCollection object, for use in worksheetCustomPropertyCollection.set({ ... })."
Excel.Interfaces.WorksheetCustomPropertyData,An interface describing the data returned by calling worksheetCustomProperty.toJSON().
Excel.Interfaces.WorksheetCustomPropertyLoadOptions,Represents a worksheet-level custom property.
Excel.Interfaces.WorksheetCustomPropertyUpdateData,"An interface for updating data on the WorksheetCustomProperty object, for use in worksheetCustomProperty.set({ ... })."
Excel.Interfaces.WorksheetData,An interface describing the data returned by calling worksheet.toJSON().
Excel.Interfaces.WorksheetLoadOptions,"An Excel worksheet is a grid of cells. It can contain data, tables, charts, etc. To learn more about the worksheet object model, read Work with worksheets using the Excel JavaScript API."
Excel.Interfaces.WorksheetProtectionData,An interface describing the data returned by calling worksheetProtection.toJSON().
Excel.Interfaces.WorksheetProtectionLoadOptions,Represents the protection of a worksheet object.
Excel.Interfaces.WorksheetUpdateData,"An interface for updating data on the Worksheet object, for use in worksheet.set({ ... })."
Excel.LinkedDataTypeAddedEventArgs,The argument that is passed to the event handler after a new linked data type is added to the workbook.
Excel.LinkedEntityCellValue,Represents a value whose properties derive from a service.
Excel.LinkedEntityId,The linked entity ID object represents a set of properties that describes a service and culture for locating this service defined value.
Excel.ListDataValidation,Represents the List data validation criteria.
Excel.LocalImageCellValue,Represents the value of a cell containing a locally stored or generated image.
Excel.LocalImageCellValueCacheId,The UID of a previously cached image.
Excel.NameErrorCellValue,Represents the value of a cell containing a #NAME? error.
Excel.NotAvailableErrorCellValue,Represents the value of a cell containing a #N/A! error.
Excel.NullErrorCellValue,Represents the value of a cell containing a #NULL! error.
Excel.NumErrorCellValue,Represents the value of a cell containing a #NUM! error.
Excel.PageLayoutMarginOptions,Represents the options in page layout margins.
Excel.PageLayoutZoomOptions,Represents page zoom properties.
Excel.PivotDateFilter,Configurable template for a date filter to apply to a PivotField. The condition defines what criteria need to be set in order for the filter to operate.
Excel.PivotFilters,An interface representing all PivotFilters currently applied to a given PivotField.
Excel.PivotLabelFilter,Configurable template for a label filter to apply to a PivotField. The condition defines what criteria need to be set in order for the filter to operate.
Excel.PivotManualFilter,Configurable template for a manual filter to apply to a PivotField. The condition defines what criteria need to be set in order for the filter to operate.
Excel.PivotValueFilter,Configurable template for a value filter to apply to a PivotField. The condition defines what criteria need to be set in order for the filter to operate.
Excel.PlaceholderErrorCellValue,Represents the value of a cell containing a #BUSY! error. This type of error is used as a placeholder while the value of a cell is downloaded.
Excel.PythonErrorCellValue,Represents the value of a cell containing a #PYTHON! error.
Excel.RangeHyperlink,Represents the necessary strings to get/set a hyperlink (XHL) object.
Excel.RangeReference,"Represents a string reference of the form ""SheetName!A1:B5"", or a global or local named range."
Excel.ReferenceCellValue,"Represents a reference into referencedValues. One scenario for using this reference is to avoid duplicating cell value objects (such as an EntityCellValue). Define a cell value object once in referencedValues, and then refer to that cell value from many places by using a ReferenceCellValue where the duplicated value would have appeared."
Excel.RefErrorCellValue,Represents the value of a cell containing a #REF! error.
Excel.RefreshModeChangedEventArgs,"Represents information about a newly added linked data type, such as source and ID."
Excel.RefreshRequestCompletedEventArgs,The argument that is passed to the event handler upon completion of refresh request to an external service or link.
Excel.ReplaceCriteria,Represents the replace criteria to be used.
Excel.RootReferenceCellValue,Represents a reference to the value which contains referencedValues.
Excel.RowProperties,Represents the returned properties of getRowProperties.
Excel.RowPropertiesLoadOptions,"Represents which row properties to load, when used as part of a ""range.getRowProperties"" method."
Excel.SearchCriteria,Represents the search criteria to be used.
Excel.SelectionChangedEventArgs,Provides information about the document that raised the selection changed event.
Excel.SettableCellProperties,Represents the input parameter of setCellProperties.
Excel.SettableColumnProperties,Represents the input parameter of setColumnProperties.
Excel.SettableRowProperties,Represents the input parameter of setRowProperties.
Excel.SettingsChangedEventArgs,Provides information about the setting that raised the settings changed event
Excel.ShapeActivatedEventArgs,Provides information about the shape that raised the activated event.
Excel.ShapeDeactivatedEventArgs,Provides information about the shape that raised the deactivated event.
Excel.SortField,Represents a condition in a sorting operation.
Excel.SpillErrorCellValue,Represents the value of a cell containing a #SPILL! error.
Excel.StringCellValue,Represents the value of a cell containing a string.
Excel.Subtotals,Subtotals for the Pivot Field.
Excel.TableAddedEventArgs,Provides information about the table that raised the added event.
Excel.TableChangedEventArgs,Provides information about the table that raised the changed event.
Excel.TableDeletedEventArgs,Provides information about the table that raised the deleted event.
Excel.TableFilteredEventArgs,Provides information about the table that raised the filter applied event.
Excel.TableSelectionChangedEventArgs,Provides information about the table that raised the selection changed event.
Excel.TimeoutErrorCellValue,Represents the value of a cell containing a #TIMEOUT! error.
Excel.ValueErrorCellValue,Represents the value of a cell containing a #VALUE! error.
Excel.ValueTypeNotAvailableCellValue,"Represents the value of a cell containing a type of value which cannot be serialized. For example, an #UNKNOWN! error which represents a type of rich value not known to this version of Excel."
Excel.WebImageCellValue,Represents the value of a cell containing an image downloaded from the internet.
Excel.WorkbookActivatedEventArgs,Provides information about the workbook that raised the activated event.
Excel.WorkbookAutoSaveSettingChangedEventArgs,Provides information about the workbook's onAutoSaveSettingChanged event.
Excel.WorksheetActivatedEventArgs,Provides information about the worksheet that raised the activated event.
Excel.WorksheetAddedEventArgs,Provides information about the worksheet that raised the added event.
Excel.WorksheetCalculatedEventArgs,Provides information about the worksheet that raised the calculated event.
Excel.WorksheetChangedEventArgs,Provides information about the worksheet that raised the changed event.
Excel.WorksheetColumnSortedEventArgs,Provides information about the column-sorted event and its related worksheet.
Excel.WorksheetDeactivatedEventArgs,Provides information about the worksheet that raised the deactivated event.
Excel.WorksheetDeletedEventArgs,Provides information about the worksheet that raised the deleted event.
Excel.WorksheetFilteredEventArgs,Provides information about the worksheet that raised the filter applied event.
Excel.WorksheetFormatChangedEventArgs,Provides information about the worksheet format change event.
Excel.WorksheetFormulaChangedEventArgs,Provides information about the worksheet and formulas that raised the formula changed event.
Excel.WorksheetMovedEventArgs,Notifies when a worksheet is moved within a workbook.
Excel.WorksheetNameChangedEventArgs,Provides information about the worksheet whose name has changed.
Excel.WorksheetProtectionChangedEventArgs,"Provides information about the worksheet that raised the protection status changed event, which fires when the protection status is updated in a worksheet."
Excel.WorksheetProtectionOptions,Represents the options in sheet protection.
Excel.WorksheetRowHiddenChangedEventArgs,Provides information about the worksheet's row hidden change event.
Excel.WorksheetRowSortedEventArgs,Provides information about the row-sorted event and its related worksheet.
Excel.WorksheetSearchCriteria,Represents the worksheet search criteria to be used.
Excel.WorksheetSelectionChangedEventArgs,Provides information about the worksheet that raised the selection changed event.
Excel.WorksheetSingleClickedEventArgs,Provides information about the left-clicked/tapped event and its related worksheet.
Excel.WorksheetVisibilityChangedEventArgs,Provides information about the worksheet whose visibility has changed.
